545800.137092590 -0.423517286    0.500172897     -0.005399245    -0.014810394    0.028664296     0.650683556     0.758663245     
545800.187100887 -0.423789961    0.497430748     -0.006265188    -0.014831317    0.028694516     0.650691439     0.758654934     
545800.237094402 -0.424335022    0.494489595     -0.007160835    -0.014803985    0.028768656     0.650698531     0.758646577     
545800.287082434 -0.425217303    0.491209879     -0.008046504    -0.014745881    0.028922716     0.650710742     0.758631377     
545800.337103605 -0.426223649    0.487631547     -0.008987472    -0.014689010    0.029090515     0.650735204     0.758605081     
545800.387092113 -0.427246093    0.483853451     -0.010108669    -0.014635520    0.029206963     0.650767542     0.758573899     
545800.437094927 -0.428265850    0.479893763     -0.011420046    -0.014528405    0.029244441     0.650803805     0.758543404     
545800.487086773 -0.429330549    0.475586014     -0.012820687    -0.014408045    0.029304897     0.650833826     0.758517608     
545800.537099600 -0.430385825    0.470843949     -0.014150008    -0.014330218    0.029368532     0.650853788     0.758499493     
545800.587100744 -0.431414634    0.465736034     -0.015359107    -0.014296516    0.029427374     0.650867644     0.758485958     
545800.637084246 -0.432471302    0.460246041     -0.016541004    -0.014257757    0.029474711     0.650908841     0.758449496     
545800.687090397 -0.433734938    0.454244773     -0.017869173    -0.014245168    0.029606503     0.650936411     0.758420938     
545800.737085819 -0.435251838    0.447771026     -0.019327870    -0.014254460    0.029757540     0.650950412     0.758402835     
545800.787101507 -0.436936097    0.441100554     -0.020886337    -0.014211618    0.029847531     0.650960595     0.758391363     
545800.837081194 -0.438837778    0.434385821     -0.022433284    -0.014076586    0.029901054     0.650952154     0.758399018     
545800.887104988 -0.440860196    0.427299651     -0.023846978    -0.013932344    0.029960331     0.650961432     0.758391378     
545800.937083721 -0.442706132    0.419523970     -0.025235391    -0.013934189    0.030028288     0.651003041     0.758352940     
545800.987100601 -0.444456067    0.411104366     -0.026782248    -0.014007416    0.030129894     0.651048224     0.758308771     
545801.037081957 -0.446151367    0.402280058     -0.028530719    -0.014055354    0.030230862     0.651114178     0.758247235     
545801.087097645 -0.447631875    0.393221566     -0.030448214    -0.014136031    0.030194333     0.651183083     0.758188015     
545801.137105227 -0.449055172    0.383964350     -0.032330711    -0.014239202    0.030045220     0.651223678     0.758157141     
545801.187079191 -0.068691516    2.978210045     -0.003962783    -0.013559921    0.029252156     0.653126047     0.756562493     
545801.237882853 -0.059367026    3.052234593     -0.003955293    -0.013514559    0.029264627     0.653141252     0.756549697     
545801.287091970 -0.050522613    3.124311695     -0.003938920    -0.013509792    0.029316683     0.653156536     0.756534571     
545801.337102890 -0.041533575    3.198036846     -0.004139799    -0.013553765    0.029376829     0.653173463     0.756516837     
545801.387115955 -0.032787414    3.272298525     -0.004346420    -0.013500378    0.029510628     0.653203908     0.756486297     
545801.437106848 -0.020984478    3.354283776     -0.015317909    -0.014132032    0.030388781     0.653024260     0.756595085     
545801.487091064 -0.011527402    3.429333576     -0.017699277    -0.014188794    0.030513738     0.653073728     0.756546294     
545801.537101507 -0.001786643    3.504908500     -0.020277207    -0.014299016    0.030549121     0.653130629     0.756493668     
545801.587111235 0.007904195     3.581177836     -0.023156190    -0.014279741    0.030551877     0.653183639     0.756448151     
545801.637095928 0.036943310     3.667123645     -0.044488212    -0.012134733    0.023528237     0.654835813     0.755307373     
545801.687143087 0.049449857     3.747153705     -0.050376589    -0.011891014    0.023465970     0.654856520     0.755295234     
545801.737093925 0.061952228     3.827775799     -0.056157378    -0.011686070    0.023407349     0.654858245     0.755298756     
545801.787089825 0.075794617     3.908151250     -0.062437487    -0.011388789    0.023160503     0.655132540     0.755073004     
545801.837152243 0.088788160     3.990038438     -0.068038866    -0.011211079    0.023255619     0.655201261     0.755013110     
545801.887103558 0.102218087     4.072182673     -0.073707076    -0.011155162    0.023370176     0.655294813     0.754929205     
545801.937110424 0.112543408     4.158022018     -0.074458232    -0.011382607    0.023510152     0.655445333     0.754790782     
545801.987098217 0.126481003     4.241988502     -0.079250191    -0.011420744    0.023517004     0.655465392     0.754772573     
545802.037098646 0.140380775     4.326858413     -0.083910470    -0.011349340    0.023543928     0.655448205     0.754787736     
545802.087105036 0.154174188     4.412546734     -0.088359254    -0.011215135    0.023627046     0.655445607     0.754789401     
545802.137119532 0.162815343     4.496032422     -0.100944914    -0.011067469    0.023420249     0.655491397     0.754758260     
545802.187090874 0.176024014     4.582603009     -0.106558472    -0.010902455    0.023574936     0.655549809     0.754705112     
545802.237170219 0.189199222     4.670121741     -0.112161789    -0.010679300    0.023750297     0.655621045     0.754640922     
545802.287111521 0.202357720     4.758143319     -0.118007801    -0.010406316    0.023918599     0.655683894     0.754584813     
545802.337087870 0.216093910     4.846841565     -0.124205723    -0.010270552    0.023996891     0.655739608     0.754535772     
545802.387103796 0.239929849     5.072527458     -0.106172529    -0.005628300    0.017980187     0.656975537     0.753676442     
545802.437086105 0.255082162     5.169908569     -0.111079461    -0.005614929    0.017995341     0.656990480     0.753663153     
545802.487096786 0.270827437     5.268533315     -0.115930187    -0.005608643    0.017905139     0.657044129     0.753618578     
545802.537093639 0.284246355     5.364867110     -0.122676524    -0.006006283    0.017846733     0.656255133     0.754304063     
545802.587110519 0.300212413     5.465085585     -0.127965658    -0.005915759    0.017711734     0.656359725     0.754216951     
545802.637096882 0.315781855     5.566285781     -0.133034757    -0.005768995    0.017725907     0.656441758     0.754146358     
